CorrectAnswers;TotalAnswers;TargetByStep;AnswerByStep;TimeToTarget;AllTargets;PressureLeft;PressureFront;PressureRight
0;5;h-left;m-left;21.50;h-left;40;0;0
-;-;h-right;m-left;3.44;h-left;40;0;0
-;-;m-front;m-left;3.57;h-left;40;0;0
-;-;l-front;m-left;3.12;h-left;40;0;0
-;-;l-front;m-left;4.32;h-right;40;0;0
-;-;-;-;0.00;h-right;40;0;0
-;-;-;-;0.00;h-right;40;0;0
-;-;-;-;0.00;h-right;40;0;0
-;-;-;-;0.00;m-front;40;0;0
-;-;-;-;0.00;m-front;40;0;0
-;-;-;-;-;m-front;40;0;0
-;-;-;-;-;m-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
-;-;-;-;-;l-front;40;0;0
